Usuario,ID del tweet,Contenido
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1691826965840306585,Desde este momento en debate con Oviedo y Galán en Caracol 100.9
GustavoBolivar,1677317292630347776,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1691823315487273346,"RT @RTVCnoticias: El periodista @JulianFMartinez, quien lleva siete años investigando el caso #Odebrecht, fue quien reveló esta entrevista inédita que Otto Bula le dio a un fiscal, donde cuenta la presunta participación de Néstor Humberto Martínez, tal como lo reveló @petrogustavo en 2018. https://t.co/a0yYApdUVB"
GustavoBolivar,1691608848430211321,"El periodista @JulianFMartinez, quien lleva siete años investigando el caso #Odebrecht, fue quien reveló esta entrevista inédita que Otto Bula le dio a un fiscal, donde cuenta la presunta participación de Néstor Humberto Martínez, tal como lo reveló @petrogustavo en 2018. https://t.co/a0yYApdUVB"
GustavoBolivar,1691819616413114656,"RT @CarlosMorenoFr: Con @GustavoBolivar tuvimos más de 3 meses de reuniones, encuentros, seminarios de trabajo y análisis del más alto nivel internacional. Indiscutiblemente de gran calidad cada una de sus contribuciones. Cambia la imagen de un aspirante viniendo a tomar fotos delante de la alcaldía https://t.co/UcIu4DjiXt"
GustavoBolivar,1691105338324316160,"Con @GustavoBolivar tuvimos más de 3 meses de reuniones, encuentros, seminarios de trabajo y análisis del más alto nivel internacional. Indiscutiblemente de gran calidad cada una de sus contribuciones. Cambia la imagen de un aspirante viniendo a tomar fotos delante de la alcaldía https://t.co/UcIu4DjiXt"
GustavoBolivar,1691798150351032401,"RT @CarlosMorenoFr: Hace 6 meses recibí en Paris a @GustavoBolivar. Me solicito desde Bogotá que lo ayudará en Paris, Europa y Asia a intercambiar sobre experiencias urbanas. El primer día lo recibió la alcaldesa @Anne_Hidalgo."
GustavoBolivar,1691101798138810368,"Hace 6 meses recibí en Paris a @GustavoBolivar. Me solicito desde Bogotá que lo ayudará en Paris, Europa y Asia a intercambiar sobre experiencias urbanas. El primer día lo recibió la alcaldesa @Anne_Hidalgo."
GustavoBolivar,1691793036387225868,#UnVerdaderoCambioEs expulsar a los corruptos de las campañas políticas para que el elegido gobierne con independencia y transparencia.
GustavoBolivar,1691670857532191074,RT @ElizbethCristi7: Hola. Necesitamos que el cambio llegue a Bogotá y quien mejor representa los ideales del Pacto Histórico es Gustavo Bolívar 🇨🇴💪 #BolívarAlcalde https://t.co/7Nh71Ud1gY
